,accuracy,precision,recall,f1,pr_auc,roc_auc
validation,0.8298460323726806,0.5163297045101088,0.7345132743362832,0.6063926892160548,0.6842363258055932,0.8877629670895119
test,0.8468823993685872,0.5511811023622047,0.7726269315673289,0.6433823480810885,0.7132759783255391,0.8991877525344943
